id,ds,bmi-gt
248038.jpg,A,39.05167277604625
250464.jpg,A,29.288754582034677
263711.jpg,A,42.825074200028695
270020.jpg,A,23.028230141027237
277774.jpg,A,29.52994949828557
279426.jpg,A,19.005989949955307
279799.jpg,A,28.88910472393207
280669.jpg,A,43.853749713532885
281182.jpg,A,21.10923866327632
282214.jpg,A,28.480827902784892
282516.jpg,A,21.768902371503707
283490.jpg,A,33.472862379468204
283516.jpg,A,31.566389316392712
284580.jpg,A,44.93687967130412
285405.jpg,A,26.853352022625756
285439.jpg,A,22.428566079731088
285550.jpg,A,32.89031228514966
285565.jpg,A,22.88926379656705
285657.jpg,A,19.525836388023126
285735.jpg,A,22.046948341948166
285929.jpg,A,30.515172752983805
285997.jpg,A,34.372290588960965
286540.jpg,A,16.736431189734102
286715.jpg,A,33.90574750331534
286819.jpg,A,23.17245930929708
286938.jpg,A,28.696717560357012
286968.jpg,A,18.65286641423205
287006.jpg,A,24.327667135942804
287086.jpg,A,26.96212780278248
287504.jpg,A,20.223187687595374
287589.jpg,A,23.08822978795848
287593.jpg,A,7.715441209643314
287634.jpg,A,31.017775598327063
287937.jpg,A,27.12459800265227
288202.jpg,A,22.957374048285608
288421.jpg,A,23.880741768178762
288444.jpg,A,28.24544915978666
288446.jpg,A,30.11383941518946
288586.jpg,A,23.62762714484342
288686.jpg,A,24.39220992630346
288728.jpg,A,33.08752615860723
288733.jpg,A,32.69030271392313
288746.jpg,A,30.81386034603711
288775.jpg,A,28.696717560357012
288892.jpg,A,35.42804637081113
289140.jpg,A,22.31422007561941
289141.jpg,A,19.13680514232092
289143.jpg,A,25.06722091264063
289200.jpg,A,28.34243709664891
289273.jpg,A,36.7602580318623
289397.jpg,A,22.046948341948166
289448.jpg,A,23.748128043282108
289551.jpg,A,23.674791987294537
289590.jpg,A,30.40958391992849
289594.jpg,A,26.49934938374567
289685.jpg,A,32.0781597803237
289784.jpg,A,26.51848107074088
289809.jpg,A,25.059285550590214
289849.jpg,A,25.99075010415897
290060.jpg,A,27.12459800265227
290118.jpg,A,28.88910472393207
290173.jpg,A,23.515755002768145
290248.jpg,A,23.62762714484342
290273.jpg,A,26.96212780278248
290302.jpg,A,20.982333661555806
290350.jpg,A,28.696717560357012
290418.jpg,A,25.08790673394101
290503.jpg,A,27.26188168233916
290505.jpg,A,20.360669509854556
290667.jpg,A,22.957374048285608
290727.jpg,A,30.81386034603711
290774.jpg,A,35.12635441343469
290882.jpg,A,25.01739782723961
290915.jpg,A,32.10720961169372
290972.jpg,A,31.66385799491448
291027.jpg,A,19.48542550394612
291140.jpg,A,22.150900448290702
291182.jpg,A,31.66385799491448
291385.jpg,A,25.10962786531239
291404.jpg,A,27.46365547768543
291489.jpg,A,20.920538987167628
291530.jpg,A,29.02520316200495
291544.jpg,A,25.104353841396126
291561.jpg,A,25.842717189672484
291667.jpg,A,22.596359327829326
291675.jpg,A,23.130573172022682
291702.jpg,A,28.591403282462426
291737.jpg,A,22.4982265673199
291742.jpg,A,37.365088291387
291746.jpg,A,27.457155204199577
291796.jpg,A,27.368625527935638
291898.jpg,A,24.407295485028897
291931.jpg,A,25.06722091264063
291937.jpg,A,28.796170582777915
291955.jpg,A,25.842717189672484
291971.jpg,A,18.47058383036678
292132.jpg,A,24.631762975142077
292155.jpg,A,22.31422007561941
292173.jpg,A,20.526469145951733
292177.jpg,A,27.368625527935638
292182.jpg,A,18.794464162942663
292193.jpg,A,25.801998084173412
292194.jpg,A,31.455815769912892
292207.jpg,A,26.581080537948843
292212.jpg,A,38.740568706481966
292219.jpg,A,22.862564393494626
292260.jpg,A,34.66559288929175
292282.jpg,A,20.223187687595374
292306.jpg,A,25.01739782723961
292313.jpg,A,32.4879873241597
292328.jpg,A,19.80310674619679
292332.jpg,A,29.859474826060186
292348.jpg,A,26.54446374333024
292411.jpg,A,21.28670874394995
292423.jpg,A,25.036261531155162
292479.jpg,A,20.223187687595374
292491.jpg,A,28.057807234501553
292512.jpg,A,26.216754314400237
292527.jpg,A,27.12459800265227
292563.jpg,A,26.54446374333024
292570.jpg,A,25.104646784601155
292606.jpg,A,24.82266068970881
292626.jpg,A,22.428566079731088
292640.jpg,A,21.28670874394995
292673.jpg,A,27.40859357095805
292679.jpg,A,29.016385159184946
292680.jpg,A,25.059285550590214
292686.jpg,A,33.00122519441057
292688.jpg,A,24.84548976810989
292702.jpg,A,43.3336570858981
292713.jpg,A,24.327667135942804
292728.jpg,A,22.046948341948166
292741.jpg,A,24.855995260612264
292751.jpg,A,21.25682782248668
292779.jpg,A,30.78529522895105
292781.jpg,A,30.131553438374862
292825.jpg,A,26.581080537948843
292847.jpg,A,23.73402325232073
292848.jpg,A,19.766229547953518
292861.jpg,A,23.70994418545665
292900.jpg,A,28.128865125933856
292941.jpg,A,25.059285550590214
292959.jpg,A,25.059285550590214
293015.jpg,A,25.104646784601155
293063.jpg,A,23.49308020367832
293100.jpg,A,20.59774160826407
293101.jpg,A,24.327667135942804
293112.jpg,A,19.900618140148968
293122.jpg,A,23.123177305301013
293125.jpg,A,31.566389316392712
293130.jpg,A,24.327667135942804
293167.jpg,A,27.49783247116877
293170.jpg,A,21.52253817026776
293177.jpg,A,25.178800393866965
293183.jpg,A,29.288754582034677
293204.jpg,A,20.175320828419046
293219.jpg,A,24.41213820238705
293234.jpg,A,21.768902371503707
293250.jpg,A,20.982333661555806
293256.jpg,A,29.859474826060186
293262.jpg,A,21.412537100014347
293273.jpg,A,25.801998084173412
293302.jpg,A,21.970924382148343
293325.jpg,A,23.49308020367832
293345.jpg,A,18.131133788878614
293351.jpg,A,26.49934938374567
293419.jpg,A,28.191696244414
293441.jpg,A,25.06722091264063
293467.jpg,A,22.709977530222396
293494.jpg,A,21.69967840212182
293500.jpg,A,25.059285550590214
293536.jpg,A,25.801998084173412
293546.jpg,A,27.26188168233916
293581.jpg,A,37.9296031574278
293587.jpg,A,33.77012451330208
293591.jpg,A,29.288754582034677
293626.jpg,A,28.480827902784892
293634.jpg,A,23.62762714484342
293637.jpg,A,32.549517603182714
293674.jpg,A,26.581080537948843
